,id,filename,format_long_name,duration,size,bitrate_total,video_codec,video_profile,width,height,sample_aspect_ratio,display_aspect_ratio,bitrate_video,frame_rate,created_at,updated_at
0,5,/Volumes/pte/content/upload/watchfolder/touchdown_pass_1080p_crf20.mp4,QuickTime / MOV,19,41249088,17350686,h264,High 4:2:2,1920,1080,1:1,16:9,17347363,30000/1001,2019-04-05 14:00:26,2019-04-05 14:00:26
1,6,/Volumes/pte/content/upload/watchfolder/aspen_1080p_crf5.mp4,QuickTime / MOV,19,378608416,159254815,h264,High 4:2:2,1920,1080,1:1,16:9,159250292,30000/1001,2019-04-05 14:01:53,2019-04-05 14:01:53
2,7,/Volumes/pte/content/upload/watchfolder/freeriding_crf18.mp4,QuickTime / MOV,182,281454443,12370128,h264,High 4:4:4 Predictive,1920,1080,1:1,16:9,12292351,50/1,2019-04-05 14:03:19,2019-04-05 14:03:19
3,8,/Volumes/pte/content/upload/watchfolder/controlled_burn_crf5.mp4,QuickTime / MOV,19,280986702,118191998,h264,High 4:2:2,1920,1080,1:1,16:9,118187028,30000/1001,2019-04-05 14:03:48,2019-04-05 14:03:48
4,9,/Volumes/pte/content/upload/watchfolder/aspen_1080p_crf10.mp4,QuickTime / MOV,19,231039918,97182782,h264,High 4:2:2,1920,1080,1:1,16:9,97178756,30000/1001,2019-04-05 14:03:59,2019-04-05 14:03:59
5,10,/Volumes/pte/content/upload/watchfolder/controlled_burn_crf10.mp4,QuickTime / MOV,19,149660045,62951803,h264,High 4:2:2,1920,1080,1:1,16:9,62948169,30000/1001,2019-04-05 14:04:09,2019-04-05 14:04:09
6,11,/Volumes/pte/content/upload/watchfolder/aspen_1080p_crf20.mp4,QuickTime / MOV,19,50083046,21066531,h264,High 4:2:2,1920,1080,1:1,16:9,21063028,30000/1001,2019-04-05 14:04:12,2019-04-05 14:04:12
7,12,/Volumes/pte/content/upload/watchfolder/controlled_burn_crf20.mp4,QuickTime / MOV,19,33240115,13981856,h264,High 4:2:2,1920,1080,1:1,16:9,13978583,30000/1001,2019-04-05 14:04:15,2019-04-05 14:04:15
8,13,/Volumes/pte/content/upload/watchfolder/speed_bag_1080p_crf20.mp4,QuickTime / MOV,19,23779660,10002485,h264,High 4:2:2,1920,1080,1:1,16:9,9999509,30000/1001,2019-04-05 14:04:15,2019-04-05 14:04:15
9,15,/Volumes/pte/content/upload/watchfolder/stuber-trailer-1_h1080p.mov,QuickTime / MOV,122,143838227,9422592,h264,Main,1920,816,1:1,40:17,9293714,24000/1001,2019-04-08 07:25:43,2019-04-08 07:25:43
10,16,/Volumes/pte/content/upload/watchfolder/dead-trigger-trailer-1_h1080p.mov,QuickTime / MOV,78,97212570,9934026,h264,Main,1920,816,1:1,40:17,9803893,24000/1001,2019-04-08 07:25:49,2019-04-08 07:25:49
11,29,/Volumes/pte/content/upload/watchfolder/rottentail-trailer-1_h1080p.mov,QuickTime / MOV,81,93519999,9251109,h264,Main,1920,816,1:1,40:17,9123181,24000/1001,2019-04-10 07:28:21,2019-04-10 07:28:21
12,30,/Volumes/pte/content/upload/watchfolder/wild-rose-trailer-1_h1080p.mov,QuickTime / MOV,121,145746701,9609672,h264,Main,1920,816,1:1,40:17,9478845,24/1,2019-04-10 08:33:34,2019-04-10 08:33:34
13,31,/Volumes/pte/content/upload/watchfolder/the-public-trailer-1_h1080p.mov,QuickTime / MOV,151,182468913,9646921,h264,Main,1920,1056,N/A,N/A,9516421,24000/1001,2019-04-10 08:33:36,2019-04-10 08:33:36
14,32,/Volumes/pte/content/upload/watchfolder/my-spy-trailer-1_h1080p.mov,QuickTime / MOV,141,178911467,10164894,h264,Main,1920,816,1:1,40:17,10038881,24000/1001,2019-04-10 08:33:39,2019-04-10 08:33:39
15,33,/Volumes/pte/content/upload/watchfolder/trial-by-fire-trailer-1_h1080p.mov,QuickTime / MOV,149,178489768,9581807,h264,Main,1920,1056,1:1,20:11,9451962,24000/1001,2019-04-10 08:33:42,2019-04-10 08:33:42
16,34,/Volumes/pte/content/upload/watchfolder/mary-magdalene-trailer-1_h1080p.mov,QuickTime / MOV,145,179545980,9876223,h264,Main,1920,816,1:1,40:17,9745087,24000/1001,2019-04-10 08:33:46,2019-04-10 08:33:46
17,35,/Volumes/pte/content/upload/watchfolder/daddy-issues-trailer-1_h1080p.mov,QuickTime / MOV,111,133146067,9637172,h264,Main,1920,816,N/A,N/A,9494037,24000/1001,2019-04-10 08:33:49,2019-04-10 08:33:49
18,36,/Volumes/pte/content/upload/watchfolder/scary-stories-to-tell-in-the-dark-trailer-1_h1080p.mov,QuickTime / MOV,105,118890220,9017049,h264,Main,1920,816,N/A,N/A,8888802,24000/1001,2019-04-10 13:02:20,2019-04-10 13:02:20
