encode_id,clip_id,encode_width,encode_height,clip_width,clip_height,clip_duration,clip_size,clip_bitrate_total,video_profile,clip_frame_rate,crf,encode_bitrate_video,nr_of_images,nr_of_image_shifts,psnr,vmaf
7,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,18,18667784,3,8,44.62155,99.406406
8,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,19,16379868,3,8,44.051502,99.192502
9,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,20,14293883,3,8,43.408926,98.92459
10,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,27,3985062,3,8,38.802828,89.46267
11,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,29,2969404,3,8,37.790129,84.728349
12,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,25,5626657,3,8,39.841945,93.272636
13,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,22,10083406,3,8,41.732308,97.418013
14,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,23,8257756,3,8,41.016286,96.256096
15,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,30,2605779,3,8,37.281762,82.001063
16,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,31,2311770,3,8,36.773283,79.0175
17,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,32,2057697,3,8,36.266204,75.761117
18,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,33,1846881,3,8,35.755654,72.262805
19,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,35,1502478,3,8,34.699482,64.601151
20,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,37,1224828,3,8,33.64631,56.380823
21,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,40,881595,3,8,32.099442,44.285166
22,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,43,639578,3,8,30.636504,34.315382
23,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,45,521597,3,8,29.655726,28.507561
24,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,50,301501,3,8,26.970597,17.578422
25,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,55,268328,3,8,26.453319,15.661969
26,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,18,7527153,3,8,40.081646,95.305851
27,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,19,6347394,3,8,39.754083,94.254731
28,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,20,5373188,3,8,39.412548,93.027088
29,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,22,3906698,3,8,38.698747,90.048244
30,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,23,3333655,3,8,38.326163,88.289737
31,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,25,2455108,3,8,37.557851,84.275405
32,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,27,1847190,3,8,36.730234,79.228524
33,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,29,1421475,3,8,35.864784,73.312733
34,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,30,1255205,3,8,35.413793,70.0178
35,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,31,1114051,3,8,34.95945,66.589436
36,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,32,994118,3,8,34.495207,62.917555
37,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,33,886317,3,8,34.025268,59.19226
38,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,35,716568,3,8,33.111674,51.399306
39,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,37,581826,3,8,32.201787,43.774618
40,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,40,419276,3,8,30.860987,33.391381
41,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,43,305385,3,8,29.550029,24.829912
42,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,45,248773,3,8,28.651651,19.868308
43,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,50,137863,3,8,26.08811,10.813509
44,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,55,122050,3,8,25.648896,9.377917
45,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,18,2953271,3,8,36.435304,81.763194
46,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,19,2515005,3,8,36.240474,80.148417
47,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,20,2150293,3,8,36.030121,78.308968
48,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,22,1600370,3,8,35.562353,74.106793
49,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,23,1391740,3,8,35.304655,71.659727
50,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,25,1051078,3,8,34.745094,66.304868
51,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,27,800290,3,8,34.119632,60.291168
52,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,29,614468,3,8,33.434397,53.628978
