,id,probability,time,image_number,value,classifier,created_at,updated_at,clip_id
0,1,90.18107056617737,,1,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
1,2,66.77687168121338,,2,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
2,3,94.05578374862671,,4,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
3,4,90.00450372695923,,5,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
4,5,95.12900114059448,,6,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
5,6,81.69479370117188,,7,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
6,7,91.35258197784424,,8,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
7,8,82.95605778694153,,9,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
8,9,79.16394472122192,,10,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
9,10,82.41872787475586,,11,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
10,11,95.38673162460327,,12,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
11,12,91.00276827812195,,13,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
12,13,93.7044620513916,,14,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
13,14,88.86460065841675,,15,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
14,15,88.3306086063385,,16,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
15,16,90.31016826629639,,17,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
16,17,50.1612663269043,,22,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
17,18,76.42459869384766,,23,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
18,19,75.42020678520203,,24,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
19,20,84.9357008934021,,25,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
20,21,94.75650191307068,,26,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
21,22,89.2260193824768,,27,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
22,23,89.78281021118164,,28,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
23,24,80.85760474205017,,29,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
24,25,91.95833206176758,,30,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
25,26,94.23364400863647,,31,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
26,27,90.10129570960999,,32,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
27,28,76.30661725997925,,33,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
28,29,58.49052667617798,,34,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
29,30,71.71289920806885,,35,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
30,31,79.65801954269409,,36,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
31,32,69.7805643081665,,37,"punching bag, punch bag, punching ball, punchball",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
32,33,43.452292680740356,,41,"lighter, light, igniter, ignitor",image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
33,34,46.675023436546326,,42,beaker,image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
34,35,49.14402663707733,,44,beaker,image_classifier_mobilenet,2019-04-08 07:23:42,2019-04-08 07:23:42,
35,36,55.021852254867554,,15,"chime, bell, gong",image_classifier_mobilenet,2019-04-08 07:59:45,2019-04-08 07:59:45,5.0
36,37,57.83969163894653,,17,"chime, bell, gong",image_classifier_mobilenet,2019-04-08 07:59:45,2019-04-08 07:59:45,5.0
37,38,60.7485830783844,,26,"spider web, spider's web",image_classifier_mobilenet,2019-04-08 07:59:45,2019-04-08 07:59:45,5.0
38,39,68.54081153869629,,27,"spider web, spider's web",image_classifier_mobilenet,2019-04-08 07:59:45,2019-04-08 07:59:45,5.0
39,40,50.75898766517639,,28,"spider web, spider's web",image_classifier_mobilenet,2019-04-08 07:59:45,2019-04-08 07:59:45,5.0
40,41,55.893492698669434,,31,"spider web, spider's web",image_classifier_mobilenet,2019-04-08 07:59:45,2019-04-08 07:59:45,5.0
41,42,56.16450309753418,,37,"chime, bell, gong",image_classifier_mobilenet,2019-04-08 07:59:45,2019-04-08 07:59:45,5.0
42,43,60.9882652759552,,50,"flagpole, flagstaff",image_classifier_mobilenet,2019-04-08 07:59:45,2019-04-08 07:59:45,5.0
43,44,56.76724314689636,,6,"mobile home, manufactured home",image_classifier_mobilenet,2019-04-08 11:24:50,2019-04-08 11:24:50,8.0
44,45,57.047224044799805,,31,"African chameleon, Chamaeleo chamaeleon",image_classifier_mobilenet,2019-04-09 09:21:05,2019-04-09 09:21:05,6.0
