,id,percentage,pts,pts_time,pos,created_at,updated_at,clip_id
0,1,0.2,,2.34    ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
1,2,0.2,,4.68    ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
2,3,0.2,,7.14    ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
3,4,0.2,,9.74    ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
4,5,0.2,,11.42   ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
5,6,0.2,,14.82   ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
6,7,0.2,,16.34   ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
7,8,0.2,,18.04   ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
8,9,0.2,,20.26   ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
9,10,0.2,,23.08   ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
10,11,0.2,,24.68   ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
11,12,0.2,,26.14   ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
12,13,0.2,,27.62   ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
13,14,0.2,,29.18   ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
14,15,0.2,,30.98   ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
15,16,0.2,,36.66   ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
16,17,0.2,,40.98   ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
17,18,0.2,,46.64   ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
18,19,0.2,,48.84   ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
19,20,0.2,,51.24   ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
20,21,0.2,,53.04   ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
21,22,0.2,,57.74   ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
22,23,0.2,,60.42   ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
23,24,0.2,,62.22   ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
24,25,0.2,,64.64   ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
25,26,0.2,,66.78   ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
26,27,0.2,,73.12   ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
27,28,0.2,,76.04   ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
28,29,0.2,,78.3    ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
29,30,0.2,,85.42   ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
30,31,0.2,,86.26   ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
31,32,0.2,,91.38   ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
32,33,0.2,,93.34   ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
33,34,0.2,,97.26   ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
34,35,0.2,,99.12   ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
35,36,0.2,,102.74  ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
36,37,0.2,,106.18  ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
37,38,0.2,,108.22  ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
38,39,0.2,,109.94  ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
39,40,0.2,,110.86  ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
40,41,0.2,,115.72  ,,2019-04-08 09:09:32,2019-04-08 09:09:32,7.0
